-1.777 0.2527 0.7338  -0.698 0.1979 0.2662  
1.000 0.000  -1.62653
1.000 0.000  -1.62653
1.000 0.000  -1.62653
1.000 0.000  -1.62653
1.000 0.000  -1.62653
1.000 0.000  -1.62653
1.000 0.000  -1.62653
1.000 0.000  -1.62653
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.75623
1.000 0.000  -1.48113
1.000 0.000  -1.48113
1.000 0.000  -1.48113
1.000 0.000  -1.48113
1.000 0.000  -1.48113
1.000 0.000  -1.48113
1.000 0.000  -1.48113
1.000 0.000  -1.48113
1.000 0.000  -1.48113
1.000 0.000  -1.84238
1.000 0.000  -1.68335
1.000 0.000  -1.68335
1.000 0.000  -1.68335
1.000 0.000  -1.68335
1.000 0.000  -1.68335
1.000 0.000  -1.68335
1.000 0.000  -1.69337
1.000 0.000  -1.69337
1.000 0.000  -2.05812
0.998 0.002  -1.41917
0.998 0.002  -1.41917
0.998 0.002  -1.41917
0.998 0.002  -1.41917
0.998 0.002  -1.41917
0.998 0.002  -1.41917
1.000 0.000  -1.97328
1.000 0.000  -1.97328
1.000 0.000  -1.97328
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.036 0.964  -0.975757
0.980 0.020  -1.31133
0.980 0.020  -1.31133
0.980 0.020  -1.31133
0.980 0.020  -1.31133
0.980 0.020  -1.31133
0.980 0.020  -1.31133
